ADC_TIMER_DMA_EXPERIMENT,version=1
CONFIG,sample_rate_hz=500,duration_s=120,dma_samples=64,timing_probe=1,sw_trigger_after_rearm=0,foreground_stalls=1,print_samples=0
START
SUMMARY,elapsed_ms=1055,conversions=528,interval_mean_us=1998,interval_min_us=1349,interval_max_us=2001,interval_short=1,interval_long=0,dma_completes=8,dma_complete_min_us=128005,dma_complete_max_us=128006,dma_errors=0,fifo_overruns=49,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=7,processed_samples=448,bad_slots=0,process_max_us=45,sample_min=239,sample_mean=303,sample_max=4595,short_stalls=10,long_stalls=1
SUMMARY,elapsed_ms=2055,conversions=1028,interval_mean_us=1999,interval_min_us=1349,interval_max_us=2008,interval_short=1,interval_long=0,dma_completes=15,dma_complete_min_us=128005,dma_complete_max_us=128006,dma_errors=0,fifo_overruns=95,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=15,processed_samples=960,bad_slots=0,process_max_us=53,sample_min=233,sample_mean=284,sample_max=4595,short_stalls=20,long_stalls=2
SUMMARY,elapsed_ms=3055,conversions=1528,interval_mean_us=1999,interval_min_us=1349,interval_max_us=2008,interval_short=1,interval_long=0,dma_completes=23,dma_complete_min_us=128005,dma_complete_max_us=128006,dma_errors=0,fifo_overruns=142,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=23,processed_samples=1472,bad_slots=0,process_max_us=53,sample_min=223,sample_mean=279,sample_max=4595,short_stalls=30,long_stalls=3
SUMMARY,elapsed_ms=4055,conversions=2028,interval_mean_us=1999,interval_min_us=1349,interval_max_us=2008,interval_short=1,interval_long=0,dma_completes=31,dma_complete_min_us=128005,dma_complete_max_us=128006,dma_errors=0,fifo_overruns=189,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=31,processed_samples=1984,bad_slots=0,process_max_us=53,sample_min=223,sample_mean=275,sample_max=4595,short_stalls=40,long_stalls=4
SUMMARY,elapsed_ms=5055,conversions=2528,interval_mean_us=1999,interval_min_us=1349,interval_max_us=2008,interval_short=1,interval_long=0,dma_completes=39,dma_complete_min_us=128005,dma_complete_max_us=128006,dma_errors=0,fifo_overruns=236,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=38,processed_samples=2432,bad_slots=0,process_max_us=53,sample_min=223,sample_mean=274,sample_max=4595,short_stalls=50,long_stalls=5
SUMMARY,elapsed_ms=6055,conversions=3028,interval_mean_us=1999,interval_min_us=1349,interval_max_us=2008,interval_short=1,interval_long=0,dma_completes=47,dma_complete_min_us=128005,dma_complete_max_us=128006,dma_errors=0,fifo_overruns=283,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=46,processed_samples=2944,bad_slots=0,process_max_us=53,sample_min=223,sample_mean=273,sample_max=4595,short_stalls=60,long_stalls=6
SUMMARY,elapsed_ms=7055,conversions=3528,interval_mean_us=1999,interval_min_us=1349,interval_max_us=2008,interval_short=1,interval_long=0,dma_completes=55,dma_complete_min_us=128005,dma_complete_max_us=128006,dma_errors=0,fifo_overruns=330,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=54,processed_samples=3456,bad_slots=0,process_max_us=53,sample_min=222,sample_mean=272,sample_max=4595,short_stalls=70,long_stalls=7
SUMMARY,elapsed_ms=8055,conversions=4028,interval_mean_us=1999,interval_min_us=1349,interval_max_us=2008,interval_short=1,interval_long=0,dma_completes=62,dma_complete_min_us=128004,dma_complete_max_us=128006,dma_errors=0,fifo_overruns=377,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=62,processed_samples=3968,bad_slots=0,process_max_us=53,sample_min=222,sample_mean=271,sample_max=4595,short_stalls=80,long_stalls=8
SUMMARY,elapsed_ms=9055,conversions=4527,interval_mean_us=1999,interval_min_us=1349,interval_max_us=2008,interval_short=1,interval_long=0,dma_completes=70,dma_complete_min_us=128004,dma_complete_max_us=128006,dma_errors=0,fifo_overruns=423,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=70,processed_samples=4480,bad_slots=0,process_max_us=53,sample_min=222,sample_mean=270,sample_max=4595,short_stalls=90,long_stalls=9
SUMMARY,elapsed_ms=10055,conversions=5027,interval_mean_us=1999,interval_min_us=1349,interval_max_us=2008,interval_short=1,interval_long=0,dma_completes=78,dma_complete_min_us=128004,dma_complete_max_us=128006,dma_errors=0,fifo_overruns=470,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=78,processed_samples=4992,bad_slots=0,process_max_us=53,sample_min=222,sample_mean=270,sample_max=4595,short_stalls=100,long_stalls=10
SUMMARY,elapsed_ms=11055,conversions=5527,interval_mean_us=1999,interval_min_us=1349,interval_max_us=2008,interval_short=1,interval_long=0,dma_completes=86,dma_complete_min_us=128004,dma_complete_max_us=128006,dma_errors=0,fifo_overruns=517,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=85,processed_samples=5440,bad_slots=0,process_max_us=53,sample_min=221,sample_mean=269,sample_max=4595,short_stalls=110,long_stalls=11
SUMMARY,elapsed_ms=12055,conversions=6027,interval_mean_us=1999,interval_min_us=1349,interval_max_us=2009,interval_short=1,interval_long=0,dma_completes=94,dma_complete_min_us=128004,dma_complete_max_us=128006,dma_errors=0,fifo_overruns=564,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=93,processed_samples=5952,bad_slots=0,process_max_us=53,sample_min=221,sample_mean=269,sample_max=4595,short_stalls=120,long_stalls=12
SUMMARY,elapsed_ms=13055,conversions=6527,interval_mean_us=1999,interval_min_us=1349,interval_max_us=2009,interval_short=1,interval_long=0,dma_completes=101,dma_complete_min_us=128004,dma_complete_max_us=128006,dma_errors=0,fifo_overruns=611,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=101,processed_samples=6464,bad_slots=0,process_max_us=54,sample_min=221,sample_mean=269,sample_max=4595,short_stalls=130,long_stalls=13
